id,originX,originY,destX,destY,lambda,Pw,Lw,ew
0,86,22,93,64,0.2,0.978527,48.8977,41.773
1,44,85,66,74,0.2,0.816813,32.4682,21.9145
2,172,0,64,106,0.2,0.999989,206.115,169.233
3,82,168,61,87,0.2,0.92052,100.702,76.8818
4,148,178,104,62,0.2,0.997838,156.611,123.992
5,109,126,107,119,0.2,0.834535,9.1665,7.01378
6,0,170,65,87,0.2,0.989797,143.491,125.145
7,108,18,102,98,0.2,0.999842,84.6797,78.1766
8,156,129,66,92,0.2,0.999945,123.746,88.4308
9,153,58,72,67,0.2,0.963828,88.0397,75.7931
10,121,76,116,103,0.2,0.907611,32.078,23.6445
11,168,54,100,108,0.2,0.999772,118.656,92.5057
12,6,27,60,117,0.2,0.998638,140.45,130.295
13,10,107,108,94,0.2,0.995961,108.823,91.7975
14,54,34,78,118,0.2,0.997149,106.443,90.6233
15,26,139,70,116,0.2,0.999434,65.7938,62.192
16,3,161,65,66,0.2,0.95977,154.216,121.49
17,58,14,97,110,0.2,0.999812,133.42,107.045
18,84,28,63,71,0.2,0.989425,63.0456,51.6456
19,23,116,91,110,0.2,0.987473,72.3573,65.4185
20,101,177,94,76,0.2,0.991264,104.772,95.2652
21,29,172,68,90,0.2,0.999027,118.834,107.976
22,79,22,83,80,0.2,0.954919,61.6894,52.6863
23,67,128,60,68,0.2,0.814299,66.1293,44.3199
24,92,43,114,114,0.2,0.999278,91.8251,71.455
25,112,66,76,75,0.2,0.686438,44.0587,27.4632
26,167,26,83,100,0.2,0.999848,153.767,127.271
27,149,150,108,78,0.2,0.994617,110.743,90.1137
28,133,8,97,72,0.2,0.997115,98.0761,91.9762
29,149,12,92,66,0.2,0.999948,108.169,98.0372
30,110,166,79,72,0.2,0.999381,122.909,101.708
31,6,100,119,62,0.2,0.998065,146.393,103.535
32,108,102,99,113,0.2,0.785401,20.1718,13.5567
33,88,123,112,67,0.2,0.992815,79.0257,50.9497
34,90,27,64,69,0.2,0.998035,66.8259,57.7968
35,118,22,95,97,0.2,0.977211,95.982,83.6191
36,84,95,60,94,0.2,0.675482,24.6321,14.3526
37,143,3,84,114,0.2,0.999898,166.028,137.956
38,103,17,83,81,0.2,0.961135,82.9702,66.7692
39,63,111,92,114,0.2,0.983051,31.9789,25.8961
40,37,125,105,74,0.2,0.999837,116.569,94.7899
41,174,179,104,72,0.2,0.999951,171.856,141.27
42,162,102,114,79,0.2,0.999734,69.1628,62.7736
43,113,45,74,120,0.2,0.997601,112.403,73.6268
44,150,73,106,117,0.2,0.966583,85.3943,61.4156
45,80,161,66,71,0.2,0.959091,102.599,73.9965
46,46,32,70,112,0.2,0.999792,101.85,95.3228
47,160,149,82,93,0.2,0.999818,130.535,96.9736
48,38,26,89,117,0.2,0.999987,139.81,127.509
49,148,18,110,100,0.2,0.99987,116.696,104.625
50,118,100,120,83,0.2,0.770699,19.0916,13.6987
51,2,123,85,85,0.2,0.999791,118.153,102.255
52,24,27,94,66,0.2,0.999778,106.667,100.474
53,88,84,114,86,0.2,0.965965,27.8286,20.1279
54,52,124,81,93,0.2,0.948232,59.0609,51.1386
55,43,18,92,107,0.2,0.999997,135.896,119.945
56,21,106,60,83,0.2,0.940689,60.1734,50.227
57,152,138,68,109,0.2,0.995908,110.856,93.9794
58,85,141,104,75,0.2,0.943079,83.1162,56.8869
59,172,62,72,83,0.2,0.994014,117.622,92.2359
60,137,35,69,114,0.2,1,143.238,122.959
61,39,7,68,71,0.2,0.999892,91.0762,86.2943
62,50,88,82,118,0.2,0.926905,61.2051,47.8452
63,19,97,63,120,0.2,0.951342,65.9661,55.6027
64,123,45,86,115,0.2,0.999423,104.981,67.0461
65,114,163,118,109,0.2,0.988315,56.633,49.8423
66,102,69,79,95,0.2,0.985992,48.4542,37.7191
67,107,38,68,102,0.2,0.999927,101.084,79.211
68,149,173,73,116,0.2,0.989378,131.033,104.385
69,106,1,112,85,0.2,0.9999,87.9283,81.5055
70,17,0,100,73,0.2,1,152.278,144.399
71,70,161,113,60,0.2,0.999947,141.285,102.408
72,69,109,80,66,0.2,0.916127,53.9667,40.3471
73,128,170,83,68,0.2,0.999657,144.02,99.9749
74,174,62,94,96,0.2,0.999371,111.926,89.3939
75,73,112,105,73,0.2,0.881096,70.2991,42.4836
76,139,166,86,84,0.2,0.999972,132.773,100.038
77,117,57,97,76,0.2,0.784387,38.5416,26.6568
78,98,138,66,80,0.2,0.991543,89.2585,61.0108
79,76,61,93,77,0.2,0.874709,33.1806,22.2384
80,108,48,64,103,0.2,0.993345,97.3063,74.4006
81,156,102,106,64,0.2,0.998165,85.953,64.406
82,105,29,98,80,0.2,0.992312,57.5104,53.0153
83,4,147,87,93,0.2,0.990362,132.285,113.256
84,35,178,79,81,0.2,0.99278,136.978,113.917
85,133,102,115,97,0.2,0.962051,23.0028,19.0186
86,21,110,88,104,0.2,0.997357,71.4214,63.1357
87,170,16,63,72,0.2,0.999398,158.589,130.842
88,34,46,114,120,0.2,1,151.343,118.667
89,105,16,99,78,0.2,0.996394,67.201,61.9816
90,132,4,113,114,0.2,0.999807,125.807,112.685
91,126,3,94,101,0.2,0.99868,127.102,110.377
92,127,40,65,85,0.2,0.996935,104.929,80.5434
93,167,130,106,60,0.2,0.993961,128.716,90.6827
94,108,170,95,106,0.2,0.999323,76.0228,67.4152
95,7,129,103,101,0.2,0.995325,120.875,94.2729
96,126,173,96,73,0.2,0.997318,128.636,101.646
